Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,VerfasserIn ; GND-ID,VerfasserIn Geschlecht,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere VerfasserInnen ; GND-ID,Weitere VerfasserInnen Geschlecht,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC11590102,AC11590102,"9,90044968440603E+017",http://data.onb.ac.at/ABO/%2BZ183948107,Z183948107,"Murhard, Friedrich Wilhelm August ; http://d-nb.info/gnd/118785419",m,Gemälde von Konstantinopel,,Gemälde von Konstantinopel $ von Fr. Murhard,Dritter Band,,Penig und Leipzig,Penig ; http://d-nb.info/gnd/4285495-7 .- Leipzig ; http://d-nb.info/gnd/4035206-7 .- Chemnitz ; http://d-nb.info/gnd/4029702-0,Chemnitz ; http://d-nb.info/gnd/4029702-0,bei F. Dienemann und Comp. ; gedruckt bei C. G. Kretschmar,Dienemann und Compagnie,"Kretschmar, Christian Gottfried ; http://d-nb.info/gnd/131605062",1804,1804,"2 ungezählte Seiten, 527 Seiten, 1 ungezählte Seite, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,Die Illustration ist eine Kupferstichillustration als Frontispiz,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 397 ; Chatzipanagioti-Sangmeister, 0747",,,ger,,,,,,,,,,,,,,,,Konstantinopel ; Topografie ; Osmanisches Reich ; Konstantinopel ; Geschichte 1799 ; Reise ; Südosteuropa,TravelogueD19 Europa Asien ; TravelogueD19 Orient,,37.Mm.36.(Vol.3) PRUNK,ZALT,
AC03263837,AC03263837,"9,90004773860603E+017",http://data.onb.ac.at/ABO/%2BZ42189100,Z42189100,"Polo, Marco ; http://d-nb.info/gnd/118595563",m,<<Il>> Milione ; (DE-588)4284152-5,,"<<Marco Paolo's>> Reise in den Orient $ während der Jahre 1272 bis 1795 [!] $ Nach den vorzüglichsten Original=Ausgaben verdeutscht, und mit einem Kommentar begleitet von Felix Peregrin",,,Ronneburg und Leipzig,Ronneburg ; http://d-nb.info/gnd/4297264-4 .- Leipzig ; http://d-nb.info/gnd/4035206-7 .- Eisenberg,Eisenberg,bei August Schumann ; gedruckt bei Johann Wilhelm Schöne,"Schumann, August ; http://d-nb.info/gnd/100802583","Schöne, Johann Wilhelm ; http://d-nb.info/gnd/1050351487",1802,1802,"VI Seiten, 2 ungezählte Seiten, 248 Seiten",,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis:,"Seite [III]-VI: Vorrede des Herausgebers Felix Peregrin, Datum 1802",,ger,ita,Aus dem Italienischen übersetzt,,,,"Peregrin, Felix ; http://d-nb.info/gnd/1157505074","Peregrin, Felix ; http://d-nb.info/gnd/1157505074",,,,,,Reisebericht,,,"Polo, Marco ; Edition ; Reise ; Konstantinopel ; Schwarzmeer-Gebiet ; Naher Osten ; Iran ; Zentralasien ; China",TravelogueD19 Asien ; TravelogueD19 Orient,,361977-B MAG,ZKAR,
AC08380278,AC08380278,"9,90037063120603E+017",http://data.onb.ac.at/ABO/%2BZ69872309,Z69872309,"Reichard, Carl",m,,,"Neuestes Gemählde von Persien, $ oder Schilderung dieses Reiches in Hinsicht seiner Lage, Produkte und Cultur, seiner Einwohner, deren Lebensart, Charakter, Kleidung, Handel, Künste, Religion und Staatsverfassung, dann seiner merkwürdigsten Städte und interessantesten Ruinen. Mit einer Einleitung, welche eine Geschichte des Landes von den ältesten bis auf die jetzigen Zeiten enthält. Nach den neuesten Reisenachrichten und den vorzüglichsten Quellen $ bearbeitet von Carl Reichard",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Gedruckt und verlegt bey B. Ph. Bauer,"Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934","Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934",1809,1809,"360 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,1 Kupferstich-Illustration als Frontispitz (gestochen und signiert von F. Weber),Bibliografischer Nachweis:,Seite [III]-VI: Vorbericht des Herausgeber,,ger,,,,,,,,,"Waring, Scott","Weber, Friedrich ; http://d-nb.info/gnd/117158623",,,Reisebericht,,,"Iran ; Reise ; Waring, Scott ; Geschichte -[1807] ; Iran ; Geschichte 559 v. Chr.-1807",TravelogueD19 Asien ; TravelogueD19 Orient,,309457-B MAG .- UNASSIGNED,ZALT ; ZALT,
AC13063711,AC13063711,"9,90048950500603E+017",http://data.onb.ac.at/ABO/%2BZ22359860X;,Z22359860X;,"Reimers, Heinrich Christoph <<von>> ; http://d-nb.info/gnd/100829821",m,Reise Der Russisch-Kaiserlichen Ausserordentlichen Gesandtschaft An Die Othomanische Pforte Im Jahr 1793,,Reise Der Russisch-Kaiserlichen Ausserordentlichen Gesandtschaft An Die Othomanische Pforte Im Jahr 1793 $ Drei Theile Vertrauter Briefe Eines Ehstländers An Einen Seiner Freunde In Reval. Mit Kupfern Und Einer Karte $ [Heinrich Christoph Reimers],Erster Theil,,St. Petersburg,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,Auf Kaiserliche Kosten ; Gedruckt In Der Schnoorschen Buchdruckerei,H. Schnorr'sche Buchdruckerei ; http://d-nb.info/gnd/1067478574,H. Schnorr'sche Buchdruckerei ; http://d-nb.info/gnd/1067478574,1803,1803,"6 ungezählte Seiten, XII, 220 Seiten, 1 ungezählte Seite, 1 ungezähltes Blatt Bildtafel, 2 ungezählte mehrfach gefaltete Blätter Bildtafeln",3 Illustrationen,3,,4°,"Die Illustration sind 1 Kupferstich-Porträt von Selim III. als Frontispiz,  2 Kupferstich-Illustrationen (gezeichnet von Mayr bzw. Sergeeff, gestochen von Koschkin). - Fußnoten","Bibliografischer Nachweis: Holzmann-Bohatta III 11459, 11698 ; Engelmann, 258 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0872. - Verfasser in der Widmung genannt","Ungezählte Seite 3-6: Widmungsvorrede des Verfassers an Alexander I., Kaiser von Russland, Datum 01.1802. - Seite [I]-IV: Vorbericht des Verfassers, Datum St. Petersburg 1802",,ger,,,,,,,,,,,"Reimers, Heinrich Christoph <<von>> ; http://d-nb.info/gnd/100829821",Aleksandr ; http://d-nb.info/gnd/118501852,Reisebericht ; Briefsammlung,,,Reise ; Osmanisches Reich ; Sankt Petersburg ; Konstantinopel ; Geschichte 1793 ; Gesandtschaft,TravelogueD19 Europa Asien ; TravelogueD19 Orient,,16.G.15.(Vol.1) PRUNK .- 264300-C.1 MAG,ZALT ; ZFID,
,,,http://data.onb.ac.at/ABO/%2BZ124113108,Z124113108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC13063717,AC13063717,"9,90048950560603E+017",http://data.onb.ac.at/ABO/%2BZ124113200;,Z124113200;,"Reimers, Heinrich Christoph <<von>> ; http://d-nb.info/gnd/100829821",m,Reise Der Russisch-Kaiserlichen Ausserordentlichen Gesandtschaft An Die Othomanische Pforte Im Jahr 1793,,Reise Der Russisch-Kaiserlichen Ausserordentlichen Gesandtschaft An Die Othomanische Pforte im Jahr 1793 $ Drei Theile Vertrauter Briefe Eines Ehstländers An Einen Seiner Freunde In Reval. Mit Kupfern Und Einer Karte $ [Heinrich Christoph Reimers],Zweiter Theil,,St. Petersburg,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,Auf Kaiserliche Kosten ; Gedruckt In Der Schnoorschen Buchdruckerei,H. Schnorr'sche Buchdruckerei ; http://d-nb.info/gnd/1067478574,H. Schnorr'sche Buchdruckerei ; http://d-nb.info/gnd/1067478574,1803,1803,"2 ungezählte Seiten, 231 Seiten, 1 ungezählte Seite, VI, das heißt 5 mehrfach gefaltete Blätter","4 Illustrationen, 1 Karte",4,1,4°,"1 Karte (Karta Konstantinopolja / Karte von Constantinopel, aufgenommen und gezeichnet von Kauffer und Foucherot, 1776), 4 Kupferstich-Illustrationen (Stecher: Ivanoff, Mayr, Koschkin, Kasatschinsky). - Fußnoten","Bibliografischer Nachweis: Holzmann-Bohatta III 11459, 11698 ; Engelmann 258 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0872",,,ger,,,,,,,,,,"Ivanoff, ... .- Sergeoff, ... .- Mayr, ... .- Kasatschinsky, ... .- Koschkin, ... .- Roudakoff, ...",,,Reisebericht ; Briefsammlung,,,Reise ; Osmanisches Reich ; Geschichte 1793,TravelogueD19 Asien ; TravelogueD19 Orient,,16.G.15.(Vol.2) PRUNK .- 264300-C.2 MAG,ZALT ; ZFID,
,,,http://data.onb.ac.at/ABO/%2BZ223598702,Z223598702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC13063730,AC13063730,"9,90048950570603E+017",http://data.onb.ac.at/ABO/%2BZ124113303;,Z124113303;,"Reimers, Heinrich Christoph <<von>> ; http://d-nb.info/gnd/100829821",m,Reise Der Russisch-Kaiserlichen Ausserordentlichen Gesandtschaft An Die Othomanische Pforte Im Jahr 1793,,Reise Der Russisch-Kaiserlichen Ausserordentlichen Gesandtschaft An Die Othomanische Pforte Im Jahr 1793 $ Drei Theile Vertrauter Briefe Eines Ehstländers An Einen Seiner Freunde In Reval $ [Heinrich Christoph Reimers],Dritter Theil,,St. Petersburg,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,"Auf Kaiserliche Kosten, Gedruckt In Der Schnoorschen Buchdruckerei",H. Schnorr'sche Buchdruckerei ; http://d-nb.info/gnd/1067478574,H. Schnorr'sche Buchdruckerei ; http://d-nb.info/gnd/1067478574,1803,1803,"4 ungezählte Seiten, VIII, 173 Seiten",,,,4°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Holzmann-Bohatta III 11459, 11698 ; Engelmann 258 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0872",,,ger,,,,,,,,,,,,,Reisebericht ; Briefsammlung,,,Reise ; Osmanisches Reich ; Konstantinopel ; Sankt Petersburg ; Geschichte 1793,TravelogueD19 Europa Asien ; TravelogueD19 Orient,,16.G.15.(Vol.3) PRUNK .- 264300-C.3 MAG,ZALT ; ZFID,
,,,http://data.onb.ac.at/ABO/%2BZ223598805,Z223598805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC10255957,AC10255957,"9,90034208570603E+017",http://data.onb.ac.at/ABO/%2BZ205462704,Z205462704,"Rohrer, Joseph ; http://d-nb.info/gnd/119527138",m,,,"Bemerkungen auf einer Reise von der Türkischen Gränze über die Bukowina durch Ost= und Westgalizien, Schlesien und Mähren nach Wien $ von Joseph Rohrer",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Bey Anton Pichler,"Pichler, Anton ; http://d-nb.info/gnd/139176020","Pichler, Anton ; http://d-nb.info/gnd/139176020",1804,1804,"VI, 307 Seiten, 7 ungezählte Seiten, 2 ungezählte Blätter Bildtafeln",2 Illustrationen,2,,8°,"1 Kupferstich-Illustration als Frontispiz, 1 Kupferstich-Illustration (Ansicht des Tirolerhäuschen im K.K. Lustschloss Schönbrunn von F. Weber)","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 259 ; Engelmann, 732","Seit [III]-VI: Vorrede des Verfassers, Datum Lemberg in Ostgalizien",,ger,,,,,,,,,,"Weber, F.",,,Reisebericht ; Briefsammlung,,,Bukowina ; Reise ; Geschichte 1804 ; Galizien ; Reise ; Geschichte 1804,TravelogueD19 Orient ; TravelogueD19 Europa,,10.Mm.18 PRUNK,ZALT,
AC08421239,AC08421239,"9,95853766870333E+015",http://data.onb.ac.at/ABO/%2BZ255404509,Z255404509,"Sauer, Martin ; http://d-nb.info/gnd/100737803",m,<<An>> account of a geographical and astronomical Expedition to the northern Parts of Russia ; http://viaf.org/viaf/7579151965262200470003,Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Achter Band,"Reise nach den Nördlichen Gegenden vom Russischen Asien und America unter dem Commodor Joseph Billings in den Jahren 1785 bis 1794 $ aus Original=Papieren verfasst von Martin Sauer, Secretär der Expedition. Aus dem Englischen übersetzt und mit Anmerkungen versehen von M. C. Sprengel",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1803,1803,"2 ungezählte Seiten,XIV Seiten, 6 ungezählte Seiten, 296 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte, XIV, 188 Seiten, 1 ungezählte Seite, 1 ungezähltes mehrfach gefaltetes Blatt Karte",2 Karten,,2,8°,2 Kupferstich-Karten (Enthält informationen zur Reise),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 225 ; Chatzipanagioti-Sangmeister, 0472",Seite [III]-XIV (zweite Zählung): Vorbericht von T. F. Ehrmann,,ger,eng,Aus dem Englischen übersetzt,,"Jackson, John ; http://d-nb.info/gnd/1055204377",m,,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337 .- Sprengel, Matthias Christian ; http://d-nb.info/gnd/117486701",,,,,,Reisebericht,"<<John Jackson's, Esa.>> Tagebuch einer im Jahre 1797 unternommenen Landreise aus Ostindien nach Europa : auf einem weniger besuchten und wenig bekannten Wege, durch die asitische und europäische Türken, Siebenbürgen, Ungarn, Teutschland","Jackson, John ; Journey from India towards England, in the year 1797",Reise ; Russland ; Amerika ; Geschichte 1785 ; Reise ; Ostindien ; Europa ; Geschichte 1797,TravelogueD19 Asien Nordamerika Europa ; TravelogueD19 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen),187672-B.8 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC10287612,AC10287612,"9,90034531700603E+017",http://data.onb.ac.at/ABO/%2BZ157659700,Z157659700,"Schiltberger, Hans ; http://d-nb.info/gnd/118795007",m,"<<Ein>> wunderbarliche unnd kürtzweylige Histori, wie Schildtberger einer auß der Stat München in Bayern von den Türcken gefangen, in die Heydenschafft gefüret unnd wider heymkommen ; (DE-588)4665534-7",,"<<Schiltberger's aus München>> von den Türken in der Schlacht von Nicopolis 1395 gefangen, in das Heidenthum geführt, und 1427 wieder heimgekommen, Reise in den Orient und wunderbare Begebenheiten $ Von ihm selbst geschrieben. Aus einer alten Handschrift übersetzt und herausgegeben von A. J. Penzel",,,München,München ; http://d-nb.info/gnd/4127793-4,München ; http://d-nb.info/gnd/4127793-4,Bey E. A. Fleischmann,"Fleischmann, Ernst August ; http://d-nb.info/gnd/116602732","Fleischmann, Ernst August ; http://d-nb.info/gnd/116602732",1814,1814,206 Seiten,,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,Aus dem Spätmittelhochdeutschen übersetzt,,,,"Penzel, Abraham Jacob ; http://d-nb.info/gnd/116077565","Penzel, Abraham Jacob ; http://d-nb.info/gnd/116077565",,,,,,Reisebericht ; Erlebnisbericht,,,"Orient ; Reise ; Gefangenschaft ; Osmanisches Reich ; Geschichte 1394-1427 ; Edition ; Reisebericht ; Schiltberger, Hans",TravelogueD19 Europa Asien ; TravelogueD19 Orient,,18.W.25 PRUNK,ZALT,
AC10292778,AC10292778,"9,90034584340603E+017",http://data.onb.ac.at/ABO/%2BZ254847400,Z254847400,"Schmidt, Johann Wilhelm",m,,Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Eilfter Band,Reise durch einige schwedische Provinzen bis zu den südlichen Wohnplätzen der nomadischen Lappen $ von Joh. Wilh. Schmidt. Mit 4 Kupfern und 1 Karte. Paul Sumarokoff's Reise durch die Krimm und Bessarabien im Jahre 1799,,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1802,1802,"378 Seiten, 2 ungezählte Seiten, 2 ungezählte gefaltetete Blätter Bildtafeln, 2 ungezählte gefaltete Blätter Karten","2 Illustrationen, 2 Karten",2,2,8°,"Die Illustrationen sind 2 Kupferstich-Illustrationen, 2 Kupferstich-Karten. - Zierleisten im Text","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 912. - Verlagsort gemäß BRE Wien","Seite [3]-8: Vorrede. - Schmidts Reisebericht endet auf S. 290, danach folgt mit weitergehender Zählung Paul Sumarokovs Reise durch die Krimm und Bessarabien. - Seite 293-294: Vorrede des Übersetzers, Datum 1801",,ger,rus,Enthält aus dem Russischen übersetzt Expression,,"Sumarokov, Pavel Ivanovič ; http://d-nb.info/gnd/100852335",m,,"Richter, Joh.",,,,,,Reisebericht,,"Sumarokov, Pavel Ivanovic ; Putesestvie po vsemu Krymu i Bessarabii v 1799 godu",Lappland ; Reise ; Geschichte 1799 ; Schweden ; Krim ; Reise ; Geschichte 1799 ; Bessarabien ; Samen ; Forschungsreise ; Samen ; Reise,TravelogueD19 Europa ; TravelogueD19 Orient,,681059-B.11 MAG,ZKAR,
AC15244880,AC15244880,"9,95852966200333E+015",http://data.onb.ac.at/ABO/%2BZ16648770X,Z16648770X,"Schultz, Stephan ; http://d-nb.info/gnd/118611410",m,"Reise durch einen Theil von Vorderasien, Aegypten und besondern nach Syrien, vom Jahr 1752 bis 1756",,"<<M. Stephan Schulz, zwanzigjährigen reisenden Mitarbeiters bei dem Callenbergischen Jnstitut für Judenbekehrung, und dann Presiger bei St. Ulrich in Halle, auch Direktors von jenem Jnstitut>> Reise durch einen Theil von Vorderasien, Aegypten und besondern nach Syrien, vom Jahr 1752 bis 1756",,,Jena,Jena ; http://d-nb.info/gnd/4028557-1,Jena ; http://d-nb.info/gnd/4028557-1,bey Wolfgang Stahl,"Stahl, Wolfgang ; http://d-nb.info/gnd/1037619919","Stahl, Wolfgang ; http://d-nb.info/gnd/1037619919",1801,1801,"6 ungezählte Seiten, 354 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1,8°,1 Kupferstich-Karte,Bibliografischer Nachweis: Bibliografie Reisebericht Eutin,"Ungezählte Seite 3-6: Vorrede des Herausgebers Heinrich Eberhard Gottlob Paulus, Datum Jena Ostermesse 1801",,ger,,,,,,"Paulus, Heinrich Eberhard Gottlob ; http://d-nb.info/gnd/115368361",,,,,,,Reisebericht,,,"Mission ; Schultz, Stephan ; Ägypten ; Syrien ; Geschichte 1752-1756 ; Naher Osten ; Konstantinopel ; Jerusalem ; Palästina ; Orient ; Osmanisches Reich",TravelogueD19 Afrika Asien ; TravelogueD19 Orient,,60.K.8.(Vol.6) PRUNK,ZALT,
AC15244882,AC15244882,"9,95852966190333E+015",http://data.onb.ac.at/ABO/%2BZ166487802,Z166487802,"Schultz, Stephan ; http://d-nb.info/gnd/118611410",m,"Reise durch einen Theil von Vorderasien, Aegypten und besondern nach Syrien, vom Jahr 1752 bis 1756",,"<<M. Stephan Schulz, zwanzigjährigen reisenden Mitarbeiters bei dem Callenbergischen Jnstitut für Judenbekehrung, und dann Presiger bei St. Ulrich in Halle, auch Direktors von jenem Jnstitut>> Reise durch einen Theil von Vorderasien, Aegypten und besondern nach Syrien, vom Jahr 1752 bis 1756. Fortsetzung",,,Jena,Jena ; http://d-nb.info/gnd/4028557-1,Jena ; http://d-nb.info/gnd/4028557-1,bey Wolfgang Stahl,"Stahl, Wolfgang ; http://d-nb.info/gnd/1037619919","Stahl, Wolfgang ; http://d-nb.info/gnd/1037619919",1803,1803,"VI, 321 Seiten",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Die Abhandlung ""Historische Untersuchung von Persepolis"" ist eine Übersetzung des Anhanges zum 2. Teil des Reiseberichtes ""Voyage dans la Persie de l'Inde"" von Louis Mathieu Langlès","Seite [III]-VI: Vorwort des Herausgebers, Datum Jena Michaelismesse 1803",,ger,ger ; fre,Enthält Auszug von aus dem Französischen übersetztem Werk,,"Langlès, Louis Mathieu ; http://d-nb.info/gnd/116725087",m,"Paulus, Heinrich Eberhard Gottlob ; http://d-nb.info/gnd/115368361",,,,,,,Reisebericht,"Historische Untersuchung über Persepolis nach verschiedenen arabischen, türkischen und persischen Manuscripten der Nationalbibliothek","Langlès, Louis Mathieu ; Voyage dans la Persie de l'Inde","Mission ; Schultz, Stephan ; Palästina ; Geschichte 1752-1756 ; Naher Osten ; Syrien ; Jerusalem ; Orient ; Osmanisches Reich ; Taẖt-i Ǧamšīd ; Archäologie",TravelogueD19 Afrika Asien ; TravelogueD19 Orient,Zusammenstellung: ohne übergeordnetem Titel von 2 Akteuren (Übersetzung ; Auszug),60.K.8.(Vol.7) PRUNK,ZALT,
AC10318512,AC10318512,"9,90034847170603E+017",,,"Sieber, Franz Wilhelm ; http://d-nb.info/gnd/117339504",m,,,"Beschreibendes Verzeichniß der in den Jahren 1817 und 1818, auf einer Reise durch Creta, Ägypten und Palästina gesam. Alterthümer $ und anderen Kunst= und Natur=Produkte nebst einer Abhandlung über ägyptische Mumien $ Von F. W. Sieber",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Zu haben am Ausstellungsorte dieser Sammlung ; in der Gräffer'schen Buchhandlung,Katharina Gräffer'sche Buchhandlung ; http://d-nb.info/gnd/10343587-6,,1820,1820,"6 ungezählte Seiten, 86 Seiten, 1 ungezählte Seite",,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: Bibliografie Reiseliteratatur Eutin ; BVB ; K10plus ; SBB,"Vorlageform des Erscheinungsvermerks auf dem Titelblatt: Wien, 1820. Zu haben am Ausstellungsorte dieser Sammlung, in der Stadt am Graben, Nr. 657 im ersten Stock. Für die Provinzen und das Ausland, in der Gräffer'schen Buchhandlung",,ger,,,,,,,,,,,,,,,"Sieber, Franz Wilhelm ; Reise von Cairo nach Jerusalem",Ägypten ; Altertümer ; Altertümer ; Kreta ; Altertümer ; Palästina,TravelogueD19 Afrika Asien Europa ; TravelogueD19 Orient,,392067-B MAG,ZPAP,
AC15227495,AC15227495,"9,95852687220333E+015",http://data.onb.ac.at/ABO/%2BZ166069408,Z166069408,"Sonnini, Charles Sigisbert ; http://d-nb.info/gnd/117637858",m,Voyage dans la haute et basse Égypte,,"<<C. S. Sonnini's, ehemaligen Offiziers und Jngenieurs des französischen Seewesens und Mitgliedes mehrerer gelehrten und literarischen Gesellschaften,>> Reisen in Ober= und Niederägypten, $ auf Befehl der ehemligen Regierung in Frankreich unternommen. Nebst einem Auszuge aus des Bürger's Carl Norry, Mitgliedes der philotechnischen Gesellschaft, Bemerkungen über Aegypten. Aus dem Französischen. Mit Anmerkungen und einem Sachregister",Zweiter  und lezter Theil ; Mit 7 Kupfern,,Leipzig und Gera,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Gera ; http://d-nb.info/gnd/4020295-1,,bei Wilhelm Heinsius,"Heinsius, Wilhelm ; http://d-nb.info/gnd/116673451",,1800,1800,"XXXVIII, 534 Seiten, 2 ungezählte Seiten,  7 Blätter Bildtafeln",7 Illustrationen,7,,8°,Die Illustrationen umgfassen 7 Kupferstichillustrationen (gestochen von G. Vogel). - Fußnoten,"Bibliografischer Nachweis: Engelmann 169 ; Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas ; Chatzipanagioti-Sangmeister, 1045 ; Hilmy II, 245",Seite [III]-XXIV: Vorbericht des Übersetzers Johann Adam Bergk,,ger,fre,Aus dem Französischen übersetzt,,"Norry, Charles ; http://d-nb.info/gnd/1055596232",m,,"Bergk, Johann Adam ; http://d-nb.info/gnd/116132655",,,"Vogel, Georg ; http://d-nb.info/gnd/13235411X",,,Reisebericht,,"Norry, Charles ; Relation de l'expédition d'Egypte",Ägypten ; Reise ; Geschichte 1777-1778 ; Osmanisches Reich ; Reise ; Geschichte 1777-1778,TravelogueD19 Afrika Europa ; TravelogueD19 Orient,,43.Y.2.(Vol.2) PRUNK,ZALT,
AC15227493,AC15227493,"9,95852687230333E+015",http://data.onb.ac.at/ABO/%2BZ166069305,Z166069305,"Sonnini, Charles Sigisbert ; http://d-nb.info/gnd/117637858",m,Voyage dans la haute et basse Égypte,,"<<C. S. Sonnini's, ehemaligen Offiziers und Jngenieurs des französischen Seewesens und Mitgliedes mehrerer gelehrten und litterarischen Gesellschaften,>> Reisen in Ober= und Niederägypten, $ auf Befehl der ehemligen Regierung in Frankreich unternommen. Nebst einem Auszuge aus des Bürger's Carl Norry, Mitgliedes der philotechnischen Gesellschaft, Bemerkungen über Aegypten. Aus dem Französischen. Mit Anmerkungen und einem Sachregister",Erster Theil ; Mit 6 Kupfern,,Leipzig und Gera,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Gera ; http://d-nb.info/gnd/4020295-1,,bei Wilh. Heinsius,"Heinsius, Wilhelm ; http://d-nb.info/gnd/116673451",,1800,1800,"XXIV, 453 Seiten, 2 ungezählte Seiten, 6 Blätter Bildtafeln",6 Illustrationen,6,,8°,Die Illustrationen sind 6 Kupferstichillustrationen (gestochen von Karl Traugott Riedel). - Fußnoten,"Bibliografischer Nachweis: Engelmann 169 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 1045 ; Hilmy II, 245","Seite [III]-XVIII: Vorbericht des Übersetzers Johann Adam Bergk, Datum Leipzig 05.10.1799",,ger,fre,Aus dem Französischen übersetzt,,,,,"Bergk, Johann Adam ; http://d-nb.info/gnd/116132655",,,"Riedel, Karl Traugott ; http://d-nb.info/gnd/103766316",,,Reisebericht,,,Ägypten ; Reise ; Geschichte 1777-1778 ; Osmanisches Reich ; Reise ; Geschichte 1777-1778,TravelogueD19 Afrika Europa ; TravelogueD19 Orient,,43.Y.2.(Vol.1) PRUNK,ZALT,
