Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC15626890,AC15626890,9958607480303338,http://data.onb.ac.at/ABO/%2BZ161835103,Z161835103,"Berlepsch, Emilie <<von>> ; http://d-nb.info/gnd/116135697",Caledonia,,Caledonia $ Von der Verfasserin der Sommerstunden [das heißt Emilie von Berlepsch],Vierter Theil,,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5,,bey B. G. Hoffmann,B. G. Hoffmann ; http://d-nb.info/gnd/5324487-4,,1804,1804,"287 Seiten, 1 ungezählte Seite",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Drucker im 4. Theil nicht genannt, vermutlich wie Bd. 1 und 2 bei Friedrich Vieweg in Braunschweig gedruckt",,,ger,,,,,,,,,,,,Reisebericht,,,Schottland ; Reise ; Geschichte 1800,TravelogueD19 Europa,,73.M.202.(Vol.4) PRUNK,ZALT,
AC15626883,AC15626883,9958607480403338,http://data.onb.ac.at/ABO/%2BZ161835000,Z161835000,"Berlepsch, Emilie <<von>> ; http://d-nb.info/gnd/116135697",Caledonia,,Caledonia $ Von der Verfasserin der Sommerstunden [das heißt Emilie von Berlepsch],Dritter Theil,,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5,,bey B. G. Hoffmann,B. G. Hoffmann ; http://d-nb.info/gnd/5324487-4,,1803,1803,"275 Seiten, 1 ungezählte Seite",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Drucker im 3. Theil nicht genannt, vermutlich wie Bd. 1 und 2 bei Friedrich Vieweg in Braunschweig gedruckt",,,ger,,,,,,,,,,,,Reisebericht,,,Schottland ; Reise ; Geschichte 1800,TravelogueD19 Europa,,73.M.202.(Vol.3) PRUNK,ZALT,
AC15626879,AC15626879,9958607480503338,http://data.onb.ac.at/ABO/%2BZ161834901,Z161834901,"Berlepsch, Emilie <<von>> ; http://d-nb.info/gnd/116135697",Caledonia,,Caledonia $ Jn drey Theilen $ Von der Verfasserin der Sommerstunden [das heißt Emilie von Berlepsch],Zweyter Theil,,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5 .- Braunschweig ; http://d-nb.info/gnd/4008065-1,Braunschweig ; http://d-nb.info/gnd/4008065-1,bey B. G. Hoffmann ; gedruckt bei Friedrich Vieweg,B. G. Hoffmann ; http://d-nb.info/gnd/5324487-4,"Vieweg, Friedrich ; http://d-nb.info/gnd/119049546",1802,1802,269 Seiten,,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,,,,,,,,,Reisebericht,,,Schottland ; Reise ; Geschichte 1800,TravelogueD19 Europa,,73.M.202.(Vol.2) PRUNK,ZALT,
AC15626872,AC15626872,9958607480603338,http://data.onb.ac.at/ABO/%2BZ161834809,Z161834809,"Berlepsch, Emilie <<von>> ; http://d-nb.info/gnd/116135697",Caledonia,,Caledonia $ Jn drey Theilen $ Von der Verfasserin der Sommerstunden [das heißt Emilie von Berlepsch],[1. Theil],,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5 .- Braunschweig ; http://d-nb.info/gnd/4008065-1,Braunschweig ; http://d-nb.info/gnd/4008065-1,bey B. G. Hoffmann ; gedruckt bei Friedrich Vieweg,B. G. Hoffmann ; http://d-nb.info/gnd/5324487-4,"Vieweg, Friedrich ; http://d-nb.info/gnd/119049546",1802,1802,"XII Seiten, 3 ungezählte Seiten, Seite 16-254, 1 ungezählte Seite",,,,8°,,,,,ger,,,,,,,,,,,,Reisebericht,,,Schottland ; Reise ; Geschichte 1800,TravelogueD19 Europa,,73.M.202.(Vol.1) PRUNK,ZALT,
AC01811094,AC01811094,9958607480703338,"http://data.onb.ac.at/ABO/%2BZ16063400X;
http://data.onb.ac.at/ABO/%2BZ168287609","Z16063400X;
Z168287609","Adelung, Friedrich <<von>> ; http://d-nb.info/gnd/120092859",,,"Siegmund Freiherr Von Herberstein $ Mit Besonderer Ruecksicht Auf Seine Reisen In Russland $ Geschildert Von Friedrich Adelung, Staatsrath, Ritter Des Ordens Der H. Anna Zweiter Und Des Rothen Adlers Dritter Klase, Correspondent Der Kais. Akademie Der Wissenschaften, Ehrenmitglied Der Kais. Universitaeten Zu Moskau, Charkow, Wilna und Kasan U. S. W. Mit Zwey Kupfern Und Einer Karte",,,St. Petersburg,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,Sankt Petersburg ; http://d-nb.info/gnd/4267026-3,Gedruckt Bey N. Gretsch,"Gretsch, N. ; http://d-nb.info/gnd/1148441611","Gretsch, N. ; http://d-nb.info/gnd/1148441611",1818,1818,"XXX, 513 Seiten, 1 ungezählte Seiten, 2 ungezählte Blätter Bildtafeln, 1 ungezähltes mehrfach gefaltetes Blatt Karte","2 Illustrationen, 1 Karte",2,1,8°,"Die Illustrationen sind 1 Kufperstich-Porträt von Siegmund von Herberstein als Frontispiz, 1 Kupferstich-Porträt desselben (gezeichnet von Neyer), 1 Karte in Lithographie (lithografiert und signiert von H. Koeck). - Zierleisten im Text ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,,,,,,,,,Biografie,,,"Herberstein, Sigmund <<von>> ; Biografie ; Herberstein, Sigmund <<von>> ; Gesandtschaft ; Russland",TravelogueD19 Europa,,23.L.26 PRUNK .- 32.W.63 PRUNK .- 286471-B MAG,ZALT ; ZALT ; ZFID,
AC15639729,AC15639729,9958609565503338,http://data.onb.ac.at/ABO/%2BZ255420205,Z255420205,,,,Nachrichten von verschiedenen Ländern des spanischen Amerika $ Aus eigenhändigen Aufsätzen einiger Missionare der Gesellschaft Jesu herausgegeben von Christoph Gottlieb von Murr,Zweiter Theil ; Mit einer Original=Charte,,Halle,Halle (Saale) ; http://d-nb.info/gnd/4023025-9,,verlegt bei Joh. Christian Hendel,"Hendel, Johann Christian ; http://d-nb.info/gnd/116700645",,1709,1809,"7 ungezählte Seiten, Seite 392-616, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,Die Illustration ist 1 Kupferstich-Karte,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Ungezählte Seite 3: Vorwort des Verlegers Johann Christian Hendel, Datum Halle 07.05.1811",,ger,spa,Enthält Expression von aus dem Spanischen übersetzten Werk,,"Garcia, José .- Havestadt, Bernhard ; http://d-nb.info/gnd/120220334 .- Ducrue, Benno ; http://d-nb.info/gnd/129756113","Murr, Christoph Gottlieb <<von>> ; http://d-nb.info/gnd/11906362X",,,,,,,Reisebericht,,,"Reise ; Kalifornien ; Mexiko ; Geschichte 1767 ; Ducrue, Benno ; Missionsreise ; Havestadt, Bernhard ; Chile ; Geschichte 1748-1770 ; Missionsreise ; Garcia, José ; Chiloé ; Geschichte 1766-1767",TravelogueD19 Nordamerika Südamerika,Zusammenstellung: mit übergeordnetem Titel von mehreren Aktueren,569311-B.2 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC15639727,AC15639727,9958609565603338,http://data.onb.ac.at/ABO/%2BZ255420102,Z255420102,,,,Nachrichten von verschiedenen Ländern des spanischen Amerika $ Aus eigenhändigen Aufsätzen einiger Missionare der Gesellschaft Jesu herausgegeben von Christoph Gottlieb von Murr,Erster Theil,,Halle,Halle (Saale) ; http://d-nb.info/gnd/4023025-9,,verlegt bei Joh. Christian Hendel,"Hendel, Johann Christian ; http://d-nb.info/gnd/116700645",,1809,1809,"XXII, 387 Seiten, 1 ungezählte Seite",,,,8°,Die Illustration ist eine Kupferstich-Karte,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite [III]-XXII: Vorrede des Herausgebers C. G. v. Murr, Datum Nürnberg 30.04.1809",,ger,,,,"Och, Joseph ; http://d-nb.info/gnd/133789721 .- Bayer, Wolfgang ; http://d-nb.info/gnd/124887821","Murr, Christoph Gottlieb <<von>> ; http://d-nb.info/gnd/11906362X",,,,,,,Reisebericht,,,"Missionsreise ; Italien ; Spanien ; Mexiko ; Geschichte 1754-1767 ; Och, Joseph ; Missionsreise ; Peru ; Bayer, Wolfgang ; Geschichte 1751-1767 circa",TravelogueD19 Südamerika Nordamerika,Zusammenstellung: mit übergeordnetem Titel von mehreren Akteuren,569311-B.1 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC15684565,AC15684565,9958657379503338,http://data.onb.ac.at/ABO/%2BZ137242308,Z137242308,"Schopenhauer, Johanna ; http://d-nb.info/gnd/118610473","Erinnerungen von einer Reise in den Jahren 1803, 1804 und 1805 ; 1813-1817",,"Erinnerungen von einer Reise in den Jahren 1803, 1804 und 1805 $ Herausgegeben von Johann Schopenhauer",Dritter Band ; Reise durch das südliche Frankreich,,Rudolstadt,Rudolstadt ; http://d-nb.info/gnd/4105066-6,,im Verlage der Hof= Buch= und Kunsthandlung,"Fürstlich-Schwarzburg-Rudolstädtisch Privilegirte Hof-, Buch- und Kunsthandlung ; (DE-588)65627-6",,1817,1817,"3 ungezählte Seiten, 374 Seiten, 2 ungezählte Seiten",1 Illustration,1,,8°,Die Illustration ist ein Titelkupfer. - Zierleisten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,,,,,,,,,Reisebericht,,,England ; Reise ; Schottland ; Geschichte 1803-1805 ; Holland ; Frankreich ; Geschichte 1803-1805,TravelogueD19 Europa,,2.X.11.(Vol.3) PRUNK,ZALT,
AC15684552,AC15684552,9958657379603338,http://data.onb.ac.at/ABO/%2BZ137242400,Z137242400,"Schopenhauer, Johanna ; http://d-nb.info/gnd/118610473","Erinnerungen von einer Reise in den Jahren 1803, 1804 und 1805 ; 1813-1817",,"Erinnerungen von einer Reise in den Jahren 1803, 1804 und 1805 $ Herausgegeben von Johann Schopenhauer",Zweiter Band ; Mit einer Charte,,Rudolstadt,Rudolstadt ; http://d-nb.info/gnd/4105066-6,,im Verlage der Hof= Buch= und Kunsthandlung,"Fürstlich-Schwarzburg-Rudolstädtisch Privilegirte Hof-, Buch- und Kunsthandlung ; (DE-588)65627-6",,1814,1814,"IV, 364 Seiten, 1 ungezählte Seite, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,"Die Illustration ist ein Titelkupfer, 1 Kupferstich-Karte. - Zierleisten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,,,,,,,,,Reisebericht,,,England ; Reise ; Schottland ; Geschichte 1803-1805 ; Holland ; Frankreich ; Geschichte 1803-1805,TravelogueD19 Europa,,2.X.11.(Vol.2) PRUNK,ZALT,
AC15684542,AC15684542,9958657379703338,http://data.onb.ac.at/ABO/%2BZ137242205,Z137242205,"Schopenhauer, Johanna ; http://d-nb.info/gnd/118610473","Erinnerungen von einer Reise in den Jahren 1803, 1804 und 1805 ; 1813-1817",,"Erinnerungen von einer Reise in den Jahren 1803, 1804 und 1805 $ Herausgegeben von Johann Schopenhauer",Erster Band ; Mit einer Reise=Charte,,Rudolstadt,Rudolstadt ; http://d-nb.info/gnd/4105066-6,,im Verlage der Hof= Buch= und Kunsthandlung,"Fürstlich-Schwarzburg-Rudolstädtisch Privilegirte Hof-, Buch- und Kunsthandlung ; (DE-588)65627-6",,1813,1813,"VI, 304 Seiten, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,8°,"Die Illustration ist ein Titelkupfer, 1 Kupferstich-Karte. - Zierleisten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite [V]-VI: Vorrede der Verfasserin an den Leser, Datum Weimar 27.01.1813",,ger,,,,,,,,,,,,Reisebericht,,,England ; Reise ; Schottland ; Geschichte 1803-1805 ; Holland ; Frankreich ; Geschichte 1803-1805,TravelogueD19 Europa,,2.X.11.(Vol.1) PRUNK,ZALT,
AC05739435,AC05739435,9958687469803338,http://data.onb.ac.at/ABO/%2BZ151690903,Z151690903,"Azara, Félix <<de>> ; http://d-nb.info/gnd/119031795",Viajes por la América del Sur ; http://viaf.org/viaf/307981755,,"Reise nach Süd=Amerika von Don Felix von Azara in den Jahren 1781 bis 1801 $ Aus dem Spanischen mit Anmerkungen und einer Nachricht von dem Leben des Verfassers herausgegeben von Walkenaer. Aus dem Französischen übersetzt von Ch. Weyland, Herzogl. Sachsen=Weimarschen Legations=Rath",Zweyter Theil,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Jn Commission bey B. Philipp Bauer,"Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934","Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934",1811,1811,"255 Seiten, 1 gefaltetes Blatt",,,,8°,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Sabin 2544. - Übersetzung aus der französischen Übersetzung von C. A. Walckenaer ""Voyages dans l'Amérique méridionale, depuis 1781 jusqu'en 1801""",Kein illustrierender Inhalt,,,ger,spa,"Aus dem Französischen übersetzt, Originalsprache ist Spanisch",,,"Walckenaer, C. A. ; http://d-nb.info/gnd/117116661","Walckenaer, C. A. ; http://d-nb.info/gnd/117116661 .- Weyland, Philipp Christoph ; http://d-nb.info/gnd/117332704",,,,,,Reisebericht,,,Südamerika ; Forschungsreise ; Geschichte 1781-1801 ; Südamerika ; Reisebericht 1781-1801,TravelogueD19 Südamerika,,6.M.49.(Vol.2) PRUNK,ZALT,
AC15722448,AC15722448,9958688168203338,http://data.onb.ac.at/ABO/%2BZ177818309,Z177818309,"Fischer, Christian August ; http://d-nb.info/gnd/115361413",Reiseabentheuer,,Reiseabentheuer $ herausgegeben von Christian August Fischer,Erstes Bändchen ; Mit einem Kupfer,,Dresden,Dresden ; http://d-nb.info/gnd/4012995-0,,bey Heinrich Gerlach,"Gerlach, Heinrich ; http://d-nb.info/gnd/1037564162",,1801,1801,"2 ungezählte Seiten, XV, 240 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,12°,Die Illustration ist 1 Kupferstich-Illustration als Frontispiz (von Johann Adolph Darnstedt),Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,Seite [I]: Widmung des Verfassers an Carl Graß. - Seite [III]-IV: Vorrede an die Leser,,ger,,,,,,,,,"Darnstedt, Johann Adolph ; http://d-nb.info/gnd/119181797","Fischer, Christian August ; http://d-nb.info/gnd/115361413","Graß, Karl Gotthard ; http://d-nb.info/gnd/120317435",Reisebericht,,,Reise ; Geschichte 1796-1797 ; Spanien ; Ostsee ; Baltikum ; Niederlande ; Norddeutschland ; Frankreich,TravelogueD19 Europa,,*43.H.15.(Vol.1) PRUNK,ZALT,
AC03404686,AC03404686,9958722066603338,http://data.onb.ac.at/ABO/%2BZ161291905,Z161291905,"Wiedemann, Joseph Georg ; http://d-nb.info/gnd/121262111",,,Streifzüge an Istriens Küsten $ Vom Verfasser der Streifzüge nach Triest und Venedig [das heißt Joseph Wiedemann],,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Jm Verlage bey Anton Doll,"Doll, Anton ; http://d-nb.info/gnd/13282261X",,1805,1805,"1 ungezähltes Blatt mit Bildtafel, 131 Seiten, 1 ungezählte Seite",2 Illustrationen,2,,17 cm,Mit 1 Kupferstich-Illustration als Frontispiz und 1 Titelkupfer (gestochen von János Blaschke),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 599",,,ger,,,,,,,,,"Blaschke, János ; http://d-nb.info/gnd/116200170",,,Reisebericht,,,Istrien ; Reise,TravelogueD19 Europa,,255697-A MAG,ZFID,
AC15756323,AC15756323,9958722066703338,http://data.onb.ac.at/ABO/%2BZ116250504,Z116250504,"Teleki, Domokos ; http://d-nb.info/gnd/1013007379",,,Reisen durch Ungern und einige angränzende Ländern $ Beschrieben vom Reichsgrafen Dominik Teleki von Szék. Aus dem Ungrischen übersetzt durch Ladislaus v. Németh Professor am evangel. Gymnasium zu Raab. Mit einem Bildniss und fünf Landkarten,,,Pesth,Budapest ; http://d-nb.info/gnd/4008684-7,,bei Konrad Adolph Hartleben,"Hartleben, Konrad Adolf ; http://d-nb.info/gnd/10436047X",,1805,1805,"288 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,"Die Illustration ist 1 Kupferstich-Porträt als Frontispiz (gestochen und signiert von Samuel Czetter, Wien). - Zierleisten im Text","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Im gleichen Jahr erschien auch eine Titelauflage ohne Zusatz ""Mit einem Bildniss und fünf Landkarten""","Seite [3]-8: Widmungsvorrede des Übersetzer Ladislaus Nemeth an Samuel von Teleki, Datum Raab 30.01.1804",,ger,hun,Aus dem Ungarischen übersetzt,,,,"Nemeth, Ladislaus",,,"Czetter, Sámuel ; http://d-nb.info/gnd/102575509",,"Teleki von Szek, Samuel ; http://d-nb.info/gnd/119123150",Reisebericht,,,Reise ; Ungarn ; Geschichte 1793-1794 ; Slawonien,TravelogueD19 Europa,,264667-B MAG,ZFID,
AC07884384,AC07884384,9958722159803338,"http://data.onb.ac.at/ABO/%2BZ14821770X;
http://data.onb.ac.at/ABO/%2BZ255428101","Z14821770X;
Z255428101","Klaproth, Heinrich Julius ; http://d-nb.info/gnd/10082451X",Reise in den Kaukasus und nach Georgien,,"Reise in den Kaukasus und nach Georgien $ unternommen in den Jahren 1807 und 1808, auf Veranstaltung der Kaiserlichen Akademie der Wissenschaften zu St. Petersburg, enthaltend eine vollständige Beschreibung der Kaukasischen Länder und ihrer Bewohner $ von Julius von Klaproth, Kaiserl. Russischem Hofrathe und Mitgliede der Akademie der Wissenschaften zu St. Petersburg",Erster Band,,Halle und Berlin,Halle (Saale) ; http://d-nb.info/gnd/4023025-9 .- Berlin ; http://d-nb.info/gnd/4005728-8,,in den Buchhandlungen des Hallischen Waisenhauses,Franckesche Stiftungen zu Halle ; http://d-nb.info/gnd/2133444-4,,1812,1812,"2 ungezählte Seiten, XVI, 740 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,1 Kupferstich-Karte,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Widmung an Friedrich Wilhelm III. von Preußen. - Vorrede des Verfassers, Datum Berlin 20.04.1812",,ger,,,,,,,,,,"Klaproth, Heinrich Julius ; http://d-nb.info/gnd/10082451X",Friedrich Wilhelm ; http://d-nb.info/gnd/118535986,Reisebericht,,,Reise ; Georgien ; Kaukasus ; Geschichte 1807-1808,TravelogueD19 Europa Asien,,394726-B.1 MAG .- 264398-B.1 MAG,ZKAR ; ZFID,
AC05739393,AC05739393,9958722160703338,http://data.onb.ac.at/ABO/%2BZ151692006,Z151692006,"Robin, Charles César ; http://d-nb.info/gnd/140796754",Voyages dans l'intérieur de la Louisiane,,"<<C. C. Robin's>> Reisen nach dem Jnnern von Louisiana, dem westlichen Florida und auf die Jnseln Martinique und St. Domingo $ in den Jahren 1802, 1803, 1804, 1805 und 1806 $ Aus dem Französischen von K. L. M. Müller",Erster Theil,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Jn Commission bey B. Ph. Bauer,"Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934","Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934",1811,1811,"4 ungezählte Seiten, 336 Seiten, 2 ungezählte Seiten, 1 ungezähltes gefaltetes Blatt Bildtafel",1 Illustration,1,,8°,1 Kupferstich-Illustration. - Zierleisten ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 183","Ungezählte Seite 3-4: Vorerinnerung des Übersetzers, Datum Leipzig 05.1803",,ger,fre,Aus dem Französischen übersetzt,,,,"Müller, Karl Ludwig Methusalem ; http://d-nb.info/gnd/117602418",,,,,,Reisebericht,,,Reise ; Florida ; Louisiana ; Martinique ; Santo Domingo ; Dominica ; Geschichte 1802-1806,TravelogueD19 Nordamerika,,6.M.53.(Vol.1) PRUNK,ZALT,
AC05739376,AC05739376,9958722162903338,"http://data.onb.ac.at/ABO/%2BZ151691907;
http://data.onb.ac.at/ABO/%2BZ174669901;
http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10467717-1","Z151691907;
Z174669901;
resolver.pl?urn=urn:nbn:de:bvb:12-bsb10467717-1","Perrin, J. C. ; http://d-nb.info/gnd/100381820",Voyage dans l'Indostand ; 1807,,"<<M. Perrin's>> Reise durch Hindostan $ und Schilderung der Sitten, Einwohner, Natur=Producte und Gebräuche dieses Landes nach einem sechzehnjährigen Aufenthalte daselbst $ Nach dem Französischen bearbeitet von Theodor Hell",Zweyter Theil,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Jn Commission bey B. Ph. Bauer,"Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934","Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934",1811,1811,"2 ungezählte Seiten, VIII, 200 Seiten, 1 Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Karte","2 Illustrationen, 1 Karte",2,1,8°,"1 Kupferstich-Illustration als Frontispiz (von Fr. Weber),  1 Kupferstich-Illustration (von Fr. Weber), 1 Kupferstich-Karte. - Zierleisten ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,fre,Aus dem Französischen übersetzt,,,,"Hell, Theodor ; http://d-nb.info/gnd/118633716 .- Hell, Theodor ; http://d-nb.info/gnd/118633716",,,"Weber, Friedrich ; http://d-nb.info/gnd/131446878",,,Reisebericht,,,Indien ; Reisebericht 1777-1793 ; Reise ; Indien ; Geschichte 1777-1793,TravelogueD19 Asien,,273330-B.2 MAG,ZFID,
AC05739371,AC05739371,9958722163003338,"http://data.onb.ac.at/ABO/%2BZ174669809;
http://data.onb.ac.at/ABO/%2BZ151691907;
http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10467716-6","Z174669809;
Z151691907;
resolver.pl?urn=urn:nbn:de:bvb:12-bsb10467716-6","Perrin, J. C. ; http://d-nb.info/gnd/100381820",Voyage dans l'Indostand ; 1807,,"<<M. Perrin's>> Reise durch Hindostan $ und Schilderung der Sitten, Einwohner, Natur=Producte und Gebräuche dieses Landes nach einem sechzehnjährigen Aufenthalte daselbst $ Nach dem Französischen bearbeitet von Theodor Hell",Erster Theil,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,Jn Commission bey B. Ph. Bauer,"Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934","Bauer, Bernhard Philipp ; http://d-nb.info/gnd/1037495934",1811,1811,"2 ungezählte Seiten, XVI, 192 Seiten, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,8°,"1 Kupferstich-Illustration als Frontispiz (von F. Weber), 1 Kupferstich-Karte (""Generalcarte von Ostindien""). - Zierleisten ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite V-VI: Vorrede des Übersetzers, Datum Dresden 09.02.1810. - Seite VII-XII: Vorrede des Verfassers",,ger,fre,Aus dem Französischen übersetzt,,,,"Hell, Theodor ; http://d-nb.info/gnd/118633716",,,"Weber, Friedrich ; http://d-nb.info/gnd/131446878",,,Reisebericht,,,Indien ; Reisebericht 1777-1793 ; Reise ; Indien ; Geschichte 1777-1793,TravelogueD19 Asien,,6.M.52 PRUNK .- 273330-B.1 MAG,ZALT ; ZFID,
AC15758419,AC15758419,9958722167203338,http://data.onb.ac.at/ABO/%2BZ165952503,Z165952503,"Uklanski, Carl Theodor <<von>> ; http://d-nb.info/gnd/104352469","Briefe über Polen, Österreich, Sachsen, Bayern, Italien, Etrurien, den Kirchenstaat und Neapel",,"Briefe über Polen, Österreich, Sachsen, Bayern, Italien, Etrurien, den Kirchenstaat und Neapel an die Comtesse Constanze de S- $ von E. T. Uklanski, Königl. Preuss. Regierungs=Rathe, geschrieben auf einer Reise vom Monat Mai 1807 bis zum Monat Februar 1808",II. Theil ; Mit Kupfern,,Nürnberg,Nürnberg ; http://d-nb.info/gnd/4042742-0,Nürnberg ; http://d-nb.info/gnd/4042742-0,bei Friedrich Campe,"Campe, Friedrich ; http://d-nb.info/gnd/118666835","Campe, Friedrich ; http://d-nb.info/gnd/118666835",1808,1808,"2 ungezählte Seiten, 653 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,Die Illustration ist 1 Kupferstich-Illustration in Aquatintatechnik (gestochen und signiert von J. Schumann). - Zierleisten im Text ; Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,,,,,,"Schumann, J.",,,Reisebericht ; Briefsammlung,,,Europa ; Reise ; Geschichte 1807-1808,TravelogueD19 Europa,,63.M.45.(Vol.2) PRUNK,ZALT,
AC06035405,AC06035405,9958734579003338,http://data.onb.ac.at/ABO/%2BZ184368305,Z184368305,"Selting, Friedrich",,,"Friedrich Seltings Besuch in München und dessen Streifzüge nach Augsburg, Regensburg, Salzburg und in die merkwürdigen Gegenden Oberbaierns $ nebst Bemerkungen über die Wiedererrichtung der Klöster, dann der definitiven und provisorischen Anstellung der Staatsdiener etc. $ Friedrich Selting",,,München ; Leipzig,München ; http://d-nb.info/gnd/4127793-4 .- Leipzig ; http://d-nb.info/gnd/4035206-7,München ; http://d-nb.info/gnd/4127793-4,Gedruckt und verlegt bei Gabriel Heitenmann ; bei C. H. F. Hartmann in Commission,"Heitenmann, Gabriel .- Hartmann, Christian Heinrich Ferdinand ; http://d-nb.info/gnd/1073505081","Heitenmann, Gabriel",1819,1819,"2 ungezählte Seiten, 230 Seiten",,,,8°,,,,,ger,,,,,,,,,,,,,,,Bayern ; Reisebericht ; Geschichte 1819 ; Quelle ; Land Salzburg ; Reisebericht ; Geschichte 1819 ; Quelle,TravelogueD19 Europa,,39.Z.6 PRUNK,ZALT,
