Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Illustrationen not dig,Foldouts,Foldouts not dig,Karten not dig,Kommentar,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC01624340,990001791380603338,"http://data.onb.ac.at/ABO/%2BZ21368904;
http://data.onb.ac.at/ABO/%2BZ171041007","Z21368904;
Z171041007","Ferrières-Sauveboeuf, Louis François <<de>> ; http://d-nb.info/gnd/119455625","Mémoires historiques, politiques et géographiques des voyages du comte de Ferrières-Sauveboeuf, faits en Turquie, en Perse et en Arabie ; 1790",Magazin von merkwürdigen neuen Reisebeschreibungen ; Achter Band,"<<Des Grafen von Ferrieres-Sauveboeuf>> Reisen in der Türkey, Persien und Arabien $ während der Jahre 1782 bis 1789 ; Mit Bemerkungen über die Religion, die Sitten, den Charakter und den Handel der Bewohner von diesen drey Ländern",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"10 ungezählte Seiten, 410 Seiten",,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - Fußnoten,"Bibliografischer Nachweis: Fromm 9067-68 ; Chatzipanagioti-Sangmeister, 0344. - Titel von Seite 1 entnommen. - Werktitel nach Chatzipanagioti-Sangmeister und VIAF",,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,"Ferrières-Sauveboeuf, Louis François <<de>> ; Osmanisches Reich ; Reisebericht 1782-1789 ; Ferrières-Sauveboeuf, Louis François <<de>> ; Arabien ; Reisebericht 1782-1789 ; Ferrières-Sauveboeuf, Louis François <<de>> ; Iran ; Reisebericht 1782-1789",TravelogueD18 Afrika Asien ; TravelogueD18 Orient,,"303755-A.8 MAG .- 276879-A.8 MAG .- 276879-A,1-20 UNASSIGNED",ZALT ; ZFID ; ZFID,
AC03116063,990004458790603338,"http://data.onb.ac.at/ABO/%2BZ42125900;
http://data.onb.ac.at/ABO/%2BZ171041202","Z42125900;
Z171041202","Beaufoy, Henry ; http://d-nb.info/gnd/117579254",Plan of the association for promoting the discovery of the interior parts of Africa,Magazin von merkwürdigen neuen Reisebeschreibungen ; Zehnter Band,Unternehmungen der Gesellschaft zur Beförderung der Entdeckungen im Jnnern von Afrika,,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"4 ungezählte Seiten, 361 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1,0,1,0,0,in mind. 1 Exemplar digitalisiert,8°,"Die Illustration ist eine Kupferstich-Karte (Karte von Nord- und Zentralafrika, von D. F. Sotzmann, Datum 1791). - Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Nachdruck der Ausgabe Berlin, Voss ; Verfasser nicht auf der Titelseite genannt ; Die Titel sind den Seiten 1 und 251 entnommen. - Der Bericht über die ""Unternehmungen der Gesellschaft zur Befürderung der Entdeckungen im Innern von Afrika"" enthält u.a. Berichte über Reisen und Auszüge aus Reiseberichten von: ""Herrn Leyards Ankunft in Kahira."" (Seite 25-52), ""Herrn Lukas Ankunft in Tripoli. Seine Aufnahme bey dem Pascha. Seine Reise nach Mesurata mit den Scherifs Fouwad und Jmhammed"" (Seite 53-89).",,,ger,eng,Aus dem Englischen übersetzt,,"Norris, Robert ; http://d-nb.info/gnd/100229115",,,,,"Sotzmann, Daniel Friedrich ; http://d-nb.info/gnd/104285850",,,Reisebericht,,"Norris, Robert ; Memoirs of the reign of Bossa Ahédee, king of Dahomey","Zentralafrika ; Reisebericht 1788-1790 ; Geschichte 1788-1790 ; Benin ; Reisebericht 1772 ; Geschichte 1772 ; Norris, Robert ; Reise ; Ägypten ; Geschichte 1788 ; Ledyard, John ; Osmanisches Reich ; Reise ; Nordafrika ; Tripolis ; Geschichte 1788 ; Lukas, ...",TravelogueD18 Afrika ; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen),"303755-A.10 MAG .- 276879-A.10 MAG .- UNASSIGNED .- 276879-A,1-20 UNASSIGNED",ZALT ; ZFID ; ZALT ; ZFID,
AC03116025,990004458730603338,"http://data.onb.ac.at/ABO/%2BZ42125602;
http://data.onb.ac.at/ABO/%2BZ171041305","Z42125602;
Z171041305","Anburey, Thomas ; http://d-nb.info/gnd/14128255X",Travels through the interior parts of America ; (DE-588)115562419X,Magazin von merkwürdigen neuen Reisebeschreibungen ; Eilfter Band,<<Anburey's>> Reisen im innern Amerika $ Aus dem Engischen übersetzt von Georg Forster,Erste Abtheilung,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"2 ungezählte Seiten, 372 Seiten, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt",2 Illustrationen,2,,2,2,2,0,0,8°,Die Illustrationen sind 1 Kupferstichillustration und 1 gestochener Plan,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Nachdruck der Ausgabe Berlin, Voss, 1792",,,ger,eng,Aus dem Englischen übersetzt,,,,"Forster, Georg ; http://d-nb.info/gnd/118534416",,,,,,Reisebericht,,,Amerika ; Reisebericht 1776-1777,TravelogueD18 Nordamerika,,"303755-A.11 MAG .- 276879-A.11 MAG .- UNASSIGNED .- 276879-A,1-20 UNASSIGNED",ZALT ; ZFID ; ZALT ; ZFID,
AC03116036,990004458740603338,"http://data.onb.ac.at/ABO/%2BZ42125705;
http://data.onb.ac.at/ABO/%2BZ171041408","Z42125705;
Z171041408","Anburey, Thomas ; http://d-nb.info/gnd/14128255X",Travels through the interior parts of America ; (DE-588)115562419X,Magazin von merkwürdigen neuen Reisebeschreibungen ; Zwölfter Band,<<Anburey's>> Reisen im innern Amerika $ Aus dem Englischen übersetzt von Georg Forster,Zweyte Abtheilung,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"2 ungezählte Seiten, 381 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,0,1,1,1,0,8°,"Die Illustration ist 1 Kupferstich-Karte (""Lauf der Flüsse Tigris und Euphrat, und der Weg von Basra nach Konstantinopel"", gezeichnet von D. F. Sotzmann)","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Die Titel sind den Seiten 1, 262 und 307 entnommen",,,ger,eng ; fre,Enthält Expressionen von aus dem Englischen und Französischen übersetzten Werken,,"Coste d'Arnobat, Charles Pierre ; http://d-nb.info/gnd/104318813 .- Howel, Thomas",,"Forster, Georg ; http://d-nb.info/gnd/118534416",,,,,,Reisebericht,"Reise nach Bambuk ; <<Dr. Thomas Howels>> Tagebuch seiner Reise von Indien, durch Armenien und Natolien oder Kleinasien, nach England","Coste d'Arnobat, Charles Pierre ; Voyage au pays de Bambouc ; http://d-nb.info/gnd/1155937872 .- Howel, Thomas ; <<A>> journal of the passage from India, by a route partly unfrequented, through Armenia and Natolia ; http://d-nb.info/gnd/1155938518","Amerika ; Reisebericht 1777-1781 ; Reisebericht ; Entdeckungsreise ; Geschichte 1771-1781 ; Senegal ; Geschichte 1790 ; Quelle ; Reise ; Bambouk ; Senegal ; Coste d'Arnobat, Charles Pierre ; Geschichte 1790 ; Anatolien ; Reisebericht 1787-1788 ; Reise ; Indien ; Naher Osten ; Armenien ; Anatolien ; Howel, Thomas ; Osmanisches Reich ; Geschichte 1787-1788 ; Orient",TravelogueD18 Nordamerika Asien ; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen von Werken dreier Akteure),"303755-A.12 MAG .- 276879-A.12 MAG .- UNASSIGNED .- 276879-A,1-20 UNASSIGNED",ZALT ; ZFID ; ZALT ; ZFID,
AC02180257,990001791390603338,"http://data.onb.ac.at/ABO/%2BZ24652307;
http://data.onb.ac.at/ABO/%2BZ171041500","Z24652307;
Z171041500","Brissot de Warville, Jacques Pierre ; http://d-nb.info/gnd/118946269",Nouveau voyage dans les Etats-Unis de l'Amérique septentrionale ; http://viaf.org/viaf/309498673,Magazin von merkwürdigen neuen Reisebeschreibungen ; Dreizehnter  Band,Neue Reise durch die vereinigten Staaten von Nordamerika $ in dem Jahre 1788 $ von J. P. Brissot (Warville),,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"VIII, 503 Seiten",,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - Zierleisten ; Initialen ; Fußnoten,"Bibliografischer Nachweis: Sabin, America 8033. - Nachdruck der Ausgabe Berlin, Voss, 1792. - Der Titel ist der Seite 1 entnommen","Seite III-VIII: Vorrede, Datum 12.1791",,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,Reise ; Nordamerika ; Geschichte 1788,TravelogueD18 Nordamerika,,"303755-A.13 MAG .- 276879-A.13 MAG .- 276879-A,1-20 UNASSIGNED",ZALT ; ZFID ; ZFID,
AC02341570,990001791400603338,"http://data.onb.ac.at/ABO/%2BZ24418906;
http://data.onb.ac.at/ABO/%2BZ171041706","Z24418906;
Z171041706","Rochon, Alexis ; http://d-nb.info/gnd/117533777",Voyage à Madagascar et aux Indes orientales ; 1791 ; http://viaf.org/viaf/306926669,Magazin von merkwürdigen neuen Reisebeschreibungen ; Funfzehnter Band,"<<Des Abbe Rochon>> Reise nach Madagaskar und Ostindien, nebst Thomas Bowyears und Robert Kirsops Nachrichten von Cochinchina $ Übersetzt von Georg Forster",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"XXXVIII, 293, 111 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,0,1,0,0,0,8°,"Die Illustration ist 1 Kupferstich-Karte (Die Insel Madagaskar und der Kanal von Mocambique nach Daprès, Robert und andern 1792). - Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas. - Nachdruck der Ausgabe Berlin, Voß, 1792 ohne ""Reise von Gibraltar über Tanger, Salee, Santa-Cruz, nach Tarudant, und von da über den Atlas nach Marokko"" von William Lampriere ; Die Berichte von Bowyear und Kirsop sind aus dem ""Oriental Repertory"" des Alexander Dalrymple übersetzt und enthalten auch das Vorwort von Alexander Dalrymple, Datum 18.11.1758",,,ger,fre ; eng,Expressionen von aus dem Englischen und Französischen übersetzten Werken,,"Kirsop, Robert .- Bowyear, Thomas",,"Forster, Georg ; http://d-nb.info/gnd/118534416","Dalrymple, Alexander ; http://d-nb.info/gnd/116017562",,,,,Reisebericht,,"Dalrymple, Alexander ; Oriental Repertory",Madagaskar ; Reise ; Ostindien ; Mauritius ; Réunion ; Nam Bô ; Geschichte 1768-1770,TravelogueD18 Afrika Asien,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren,"303755-A.15 MAG .- 276879-A.15 MAG .- 276879-A,1-20 UNASSIGNED",ZALT ; ZFID ; ZFID,
AC03116081,990004458830603338,"http://data.onb.ac.at/ABO/%2BZ42126102;
http://data.onb.ac.at/ABO/%2BZ171041809","Z42126102;
Z171041809","Lempriere, William ; http://d-nb.info/gnd/122489500","<<A>> tour from Gibraltar to Tangier, Sallee, Mogodore, Santa Cruz, Tarudant ; http://viaf.org/viaf/8725155953611642630009",Magazin von merkwürdigen neuen Reisebeschreibungen ; Sechzehnter Band,"<<William Lemprieres englischen Wundarztes>> Reise von Gibraltar über Tanger, Salee, Santa Cruz nach Tarudant und von da über den Atlas nach Marokko $ Mit erläuternden Anmerkungen von E. A. W. Zimmermann",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"XX, 460 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,0,1,1,1,0,8°,Die Illustration ist eine gestochene Karte (Karte von dem Königreiche Marokko verjüngt und gezeichnet von D. F. Sotzman),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann 109 ; Kainbacher, Erforschung Afrikas, S. 271. - Der Hauptitel ist der Seite III entnommen","Vorrede des Herausgebers E. A. W. Zimmermann, Datum Braunschweig 12.1791",,ger,eng,Aus dem Englischen übersetzt,,,"Zimmermann, Eberhard August Wilhelm <<von>> ; http://d-nb.info/gnd/11882435X",,,,,,,Reisebericht,,,Marokko ; Reisebericht 1789-1790 ; Marokko ; Geschichte 1790 ; Quelle ; Reise ; Nordafrika ; Marokko ; Geschichte 1789-1790,TravelogueD18 Afrika,,"303755-A.16 MAG .- 276879-A.16 MAG .- UNASSIGNED .- 276879-A,1-20 UNASSIGNED",ZALT ; ZFID ; ZALT ; ZFID,
AC09741384,990028949950603338,http://data.onb.ac.at/ABO/%2BZ148209908,Z148209908,"Bruce, James ; http://d-nb.info/gnd/1056128399",Travels to discover the source of the Nile ; 1790 ; http://viaf.org/viaf/186683665,,Kurze Beschreibung von Abyssinien und seinen heutigen Bewohnern $ Ein historisch= geographischer Auszug aus James Bruces Reise nach den Nilquellen,,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,Jn der C. Weigel=Schneider'schen Kunst= und Buchhandlung,Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung ; http://d-nb.info/gnd/5311115-1,,1792,1792,"10 ungezählte Seiten, 236, 119 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt",1 Karte,,1,0,1,1,1,0,8°,Die Illustration ist 1 Kupferstich-Karte. - Holzschnitt-Vignette auf dem Titelblatt und im Text,Bibliografischer Nachweis: VD18 11446471 ; Bibliografie Reiseliteratur Eutin,"Ungezählte Seite 5-10: Vorrede des Herausgebers und Bearbeiters Theophil Friedrich Ehrmann, Datum Stuttgart 01.1792",,ger,eng,Aus dem Englischen übersetzt,VD18 11446471,"Fries, Jakob ; http://d-nb.info/gnd/172081726",,,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337",,,,,Reisebericht ; Aufsatzsammlung,<<Jacob Fries Gouvernements-Physicus>> Reise durch Rußland wie auch durch unterschiedliche europäische und aßiatische Provinzen von 1770-1780,"Fries, Jakob","Äthiopien ; Geografie ; Statistik ; Reise ; Russland ; Geschichte 1770-1780 ; Fries, Jakob",TravelogueD18 Afrika Asien,Zusammenstellung: ohne übergeordnetem Titel von 2 Akteuren (Übersetzungen),"251329-B.18,2 MAG",ZFID,VD18 11446471
AC06733818,990016251210603338,http://data.onb.ac.at/ABO/%2BZ103519506,Z103519506,"Rotenstein, Gottfried <<von>> ; http://d-nb.info/gnd/142510858","Lust-Reisen durch Bayern, Würtemberg, Pfalz, Sachsen, Brandenburg, Österreich, Mähren, Böhmen und Ungarn ; 1792",,"Lust=Reisen durch Bayern, Würtemberg, Pfalz, Sachsen, Brandenburg, Oesterreich, Mähren, Böhmen und Ungarn $ in den Jahren 1784 bis 1791 $ [Gottfried von Rotenstein]",Zweyter Theil,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,bei Friederich Schneidern,"Schneider, Carl Friedrich ; http://d-nb.info/gnd/1033765643",,1792,1792,"246 Seiten, 4 ungezählte Seiten",,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - Holzschnitt-Zierleisten im Text ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Holzmann-Bohatta III, 3013. - Anonym erschienen, Verfasser bibliografisch ermittelt nach Holzmann-Bohatta.",,,ger,,,,,,,,,,,,Reisebericht,,,Europa ; Reise ; Unterhaltung ; Geschichte 1784-1791,TravelogueD18 Europa,,251167-A.2 MAG,ZFID,
AC06733810,990016251260603338,http://data.onb.ac.at/ABO/%2BZ103519403,Z103519403,"Rotenstein, Gottfried <<von>> ; http://d-nb.info/gnd/142510858","Lust-Reisen durch Bayern, Würtemberg, Pfalz, Sachsen, Brandenburg, Österreich, Mähren, Böhmen und Ungarn ; 1792",,"Lust=Reisen durch Bayern, Würtemberg, Pfalz, Sachsen, Brandenburg, Oesterreich, Mähren, Böhmen und Ungarn $ in den Jahren 1784 bis 1791 $ [Gottfried von Rotenstein]",Erster Theil,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,bei Friederich Schneidern,"Schneider, Carl Friedrich ; http://d-nb.info/gnd/1033765643",,1792,1792,"266 Seiten, 3 ungezählte Seiten",,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - Holzschnitt-Zierleisten im Text ; Fußnteon,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Holzmann-Bohatta III, 3013. - Anonym erschienen, Verfasser ermittelt nach Holzmann-Bohatta.",,,ger,,,,,,,,,,,,,,,Europa ; Reise ; Unterhaltung ; Geschichte 1784-1791,TravelogueD18 Europa,,251167-A.1 MAG .- UNASSIGNED,ZFID ; ZFID,
AC09656001,990028076420603338,http://data.onb.ac.at/ABO/%2BZ16446480X,Z16446480X,"Anburey, Thomas ; http://d-nb.info/gnd/14128255X",Travels through the interior parts of America ; (DE-588)115562419X,,"Reisen im Jnneren von Nordamerika, $ welche eine Schilderung der Sitten und Eigenthümlichkeiten des Landes Kanada, Neu=England und Virginien, imgleichen die Geschichte des Feldzuges, der Uebergabe und der ferneren Schicksale der Armee unter dem General Bourgoyne enthalten. In Briefen $ von Thomas Anburey, einem Offizier bei dieser Armee. Aus dem Englischen übersetzt  und mit Anmerkungen begleitet von Georg Forster. Mit Kupern",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Christian Friedrich Voss und Sohn ; http://d-nb.info/gnd/6146570-7,,1792,1792,"VIII, 372 Seiten, 2 ungezählte gefaltete Blätter Bildtafeln",3 Illustrationen,3,,1,2,0,0,Frontispiz fehlt ; Foldouts digitalisiert,8°,"Die Illustrationen sind 1 Kupferstich-Illustrationen, 1 Kupferstich-Plan und 1 gestochenes Frontispiz. - Fußnoten im Text",Bibliografischer Nachweis: VD18 10214062 ; Bibliografie Reiseliteratur Eutin. - Auch als Teil der Reihe: Magazin von merkwürdigen neuen Reisebeschreibungen,,,ger,eng,Aus dem Englischen übersetzt,VD18 10214062,,,"Forster, Georg ; http://d-nb.info/gnd/118534416",,,"Panningh, H. I.",,,Reisebericht,,,Nordamerika ; Reise ; Geschichte 1771-1781 ; Neuengland ; Virginia,TravelogueD18 Nordamerika,,250223-B MAG,ZFID,VD18 10214062
AC09928555,990030865900603338,"http://data.onb.ac.at/ABO/%2BZ161835504;
http://data.onb.ac.at/ABO/%2BZ116233105;
http://data.onb.ac.at/ABO/%2BZ168866208","Z161835504;
Z116233105;
Z168866208","Hager, Joseph ; http://d-nb.info/gnd/119171260",,,"Reise von Wien nach Madrit Jm Jahre 1790 $ [Hager, Joseph]",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,Berlin ; http://d-nb.info/gnd/4005728-8,bey  Friedrich Vieweg dem ältern ; gedruckt bei Johann Georg Langhoff,"Vieweg, Friedrich ; http://d-nb.info/gnd/119049546","Vieweg, Friedrich ; http://d-nb.info/gnd/119049546",1792,1792,"10 ungezählte Seiten, 254 Seiten",7 Illustrationen,7,,0,0,0,0,0,8°,"Die Illustrationen umfassen 1 Kupferstich-Illustration als Frontispiz (gestochen und signiert von Johann Friedrich Bolt), 1 Titelkupfer mit Kupferstich-Vignette und 4 illustrierende Kupferstich-Vignetten imText (gestochen und signiert von W. Arndt), 1 illustrierender Kupferstich-Vignette mit Porträts (gestochen und signiert von Johann Friedrich Bolt)","Bibliografischer Nachweis: VD18 11396687 ; Holzmann-Bohatta III, 360 ; Engelmann, 1136 ; Bibliografie Reiseliteratur Eutin. - Anonym erschienen. - Die 10 ungezählte Seiten können in einzelnen Exemplaren auch am Ende gebunden sein (Bsp. Exemplar SLUB Dresden Geogr. C.1372.u. URN: urn:nbn:de:bsz:14-db-id3516218572)",,,ger,,,VD18 11396687,,,,,,"Arndt, Wilhelm ; http://d-nb.info/gnd/132366126 .- Bolt, Johann Friedrich ; http://d-nb.info/gnd/11623685X",,,Reisebericht,,,Madrid ; Reise ; Österreich ; Oberitalien ; Frankreich ; Spanien ; Geschichte 1790,TravelogueD18 Europa,,73.M.206 PRUNK .- 264584-A MAG .- 275151-A MAG,ZALT ; ZFID ; ZFID,VD18 11396687
AC10017189,990031770610603338,http://data.onb.ac.at/ABO/%2BZ257935208,Z257935208,"Kleist, Franz Alexander <<von>> ; http://d-nb.info/gnd/116230789",,,Fantasien auf einer Reise nach Prag $ v. K.,,,Dresden und Leipzig,Dresden ; http://d-nb.info/gnd/4012995-0 .- Leipzig ; http://d-nb.info/gnd/4035206-7,,in der Richterschen Buchhandlung,Richtersche Buchhandlung ; http://d-nb.info/gnd/6146517-3,,1792,1792,"139 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,0,0,0,0,0,8°,Die Illustration ist ein Titelkupfer mit illustrierender Kupferstichvignette,"Bibliografischer Nachweis: Holzmann-Bohatta III, 8758 ; Bibliografie Reiseliteratur Eutin ; VD18 11533633",,,ger,,,VD18 11533633,,,,,,,,,Reisebericht ; Erlebnisbericht,,,Prag ; Reise ; Böhmen,TravelogueD18 Europa,,624393-A MAG,ZTHE,VD18 11533633
AC10079586,990032406480603338,http://data.onb.ac.at/ABO/%2BZ12493170X,Z12493170X,"Long, John ; http://d-nb.info/gnd/1017535337",Voyages and travels of an Indian interpreter and trader describing the manners and customs of the North American Indians ; 1791 ; http://viaf.org/viaf/6079153289892232770006,,"Reisen eines Amerikanischen Dolmetschers und Pelzhändlers, welche eine Beschreibung der Sitten und Gebräuche der Nordamerikanischen Eingebornen $ und einige Nachrichten von den Posten am St. Lorenz-Flusse, dem See Ontario u. s. w. enthalten $ Herausgegeben von J. Long. Aus dem Englischen übersetzt. Nebst einer vorläufigen Schilderung des Nordens von Amerika von Georg Forster. Mit einer neuen Karte und einem Kupfer",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Vossische Buchhandlung ; (DE-588)64386-5,,1792,1792,"VI, 88, 176 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte, 1 ungezähltes Blatt Bildtafel","1 Illustration, 1 Karte",1,1,0,1,1,1,0,8°,"Die Illustrationen sind 1 Kupferstichillustration, 1 Kupferstichkarte (von Daniel Friedrich Sotzmann)",Bibliografischer Nachweis: VD18 11549998 ; Engelmann 224 ; Sabin 41878 ; Bibliografie Reiseliteratur Eutin,,,ger,eng,Aus dem Englischen übersetzt,VD18 11549998,"Forster, Georg ; http://d-nb.info/gnd/118534416",,,,,"Panningh, H. I. .- Jäck, Carl ; http://d-nb.info/gnd/1016850247",,,Reisebericht,,"Forster, Georg ; Vorläufige Schilderung des Nordens von Amerika",Nordamerika ; Indianer ; Geschichte 1777-1787 circa,TravelogueD18 Nordamerika,Zusammenstellung: Hauptwerk mit Ergänzung,251297-B MAG,ZFID,VD18 11549998
AC10253692,990034185360603338,http://data.onb.ac.at/ABO/%2BZ157309300,Z157309300,"Rochon, Alexis ; http://d-nb.info/gnd/117533777",Voyage à Madagascar et aux Indes orientales ; 1791 ; http://viaf.org/viaf/306926669,,"<<Des Herrn Abbé Rochon Mitglieds der Academien zu Paris und Petersburg, Astronoms der Marine, Aufsehers des königlichen physicalischen Cabinets etc.>> Reise nach Madagascar und Ostindien $ Aus dem Französischen übersetzt von Albrecht Christoph Kayser Hochfürtslich Thurn= und Taxischen Hofrath und Bibliothekar",,,Bayreuth,Bayreuth ; http://d-nb.info/gnd/4005056-7,Bayreuth ; http://d-nb.info/gnd/4005056-7,im Verlag der dasigen Zeitungsdruckerey,Zeitungsdruckerei ; http://d-nb.info/gnd/6147273-6,Zeitungsdruckerei ; http://d-nb.info/gnd/6147273-6,1792,1792,"12 ungezählte Seiten, 286 Seiten, 2 ungezählte Seiten",,,,0,0,0,0,0,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; VD18 1390664X,"Ungezählte Seite 3-8: Vorrede des Übersetzers Albrecht Christoph Kayser an Franzsika, Herzogin von Würtemberg, Datum 28.03.1792. - Ungezählte Seite 9-12: Vorrede des Übersetzers, Datum Regensburg 03.1792",,ger,fre,Aus dem Französischen übersetzt,VD18 1390664X,,,"Kayser, Albrecht Christoph ; http://d-nb.info/gnd/121673383",,,,"Kayser, Albrecht Christoph ; http://d-nb.info/gnd/121673383",Franziska ; http://d-nb.info/gnd/118535056,Reisebericht,,,Forschungsreise ; Madagaskar ; Geschichte 1768-1771 ; Ostindien,TravelogueD18 Afrika Asien,,251384-B MAG,ZFID,VD18 1390664X
